index_content,word,nature,content_type,index_word
16,老人,n,积极,0
16,思想,n,积极,1
16,封建,a,积极,2
29,批,q,消极,0
29,音乐,n,消极,1
29,权,n,消极,2
29,网易,n,消极,3
31,听,v,消极,0
31,想来,v,消极,1
31,评论,n,消极,2
31,区,n,消极,3
31,有没有,v,消极,4
31,新人,n,消极,5
31,可怜,v,消极,6
31,可怜,v,消极,7
42,伤心,n,积极,0
66,西部,f,消极,0
66,方言,n,消极,1
66,白苗,n,消极,2
66,系,v,消极,3
66,俗称,v,消极,4
66,国际,n,消极,5
66,苗语,nz,消极,6
80,康康,nr,积极,0
80,二十八,m,积极,1
80,天,q,积极,2
80,我心,n,积极,3
80,从没,d,积极,4
80,动摇,v,积极,5
85,读书,n,积极,0
85,怕,v,积极,1
85,找,v,积极,2
85,不到,v,积极,3
85,女朋友,n,积极,4
85,咪啋,o,积极,5
85,蒙,v,积极,6
85,想,v,积极,7
85,嫁,v,积极,8
85,完,v,积极,9
85,惊恐,a,积极,10
85,惊恐,a,积极,11
100,可惜,v,积极,0
100,曲子,n,积极,1
102,一千个,m,积极,0
102,伤心,n,积极,1
102,理由,n,积极,2
102,张学友,nr,积极,3
102,原唱,n,积极,4
102,苗语,nz,积极,5
105,一千个,m,中性,0
105,伤心,n,中性,1
105,理由,n,中性,2
