index_content,word,nature,content_type,index_word
1,聽,v,积极,0
1,感谢,v,积极,1
1,支持,v,积极,2
5,声音,n,消极,0
5,好听,v,消极,1
9,好听,v,积极,0
9,可爱,v,积极,1
9,可爱,v,积极,2
10,喜欢,v,积极,0
10,喜欢,v,积极,1
14,好听,v,积极,0
14,大力支持,nr,积极,1
14,期待,v,积极,2
14,新,a,积极,3
14,作品,n,积极,4
15,感谢,v,积极,0
15,支持,v,积极,1
18,女孩子,n,中性,0
18,爱,v,中性,1
21,好听,v,积极,0
21,大笑,v,积极,1
21,大笑,v,积极,2
21,大笑,v,积极,3
22,女孩,n,积极,0
22,爱,v,积极,1
22,女孩,n,积极,2
22,爱,v,积极,3
25,期待,v,积极,0
25,更,d,积极,1
26,感谢,v,积极,0
26,一路,m,积极,1
26,陪伴,n,积极,2
33,好听,v,消极,0
34,想,v,中性,0
34,告诉,v,中性,1
34,想,v,中性,2
39,好听,v,消极,0
40,不错,a,积极,0
40,好听,v,积极,1
43,你好,l,中性,0
43,想,v,中性,1
43,问问,n,中性,2
43,知不知道,i,中性,3
43,首歌,n,中性,4
43,名字,n,中性,5
43,想,v,中性,6
43,吃不下,l,中性,7
43,饭,n,中性,8
43,睡不着,v,中性,9
46,支持,v,中性,0
52,好听,v,消极,0
55,太,d,消极,0
55,好听,v,消极,1
57,太,d,中性,0
57,爱,v,中性,1
57,妈呀,n,中性,2
60,国际,n,中性,0
60,苗语,nz,中性,1
60,西部,f,中性,2
60,方言,n,中性,3
60,有没有,v,中性,4
60,讲,v,中性,5
60,西部,f,中性,6
60,苗语,nz,中性,7
60,听众,n,中性,8
67,深圳,ns,积极,0
67,街角,n,积极,1
67,见,v,积极,2
67,两位,m,积极,3
67,大姐,n,积极,4
67,微信,vn,积极,5
67,家里人,nrt,积极,6
67,唱歌,n,积极,7
67,打听,v,积极,8
67,找到,v,积极,9
67,首歌曲,n,积极,10
67,听不懂,v,积极,11
67,优美,a,积极,12
67,旋律,n,积极,13
67,甜美,a,积极,14
67,歌喉,n,积极,15
67,吸引,v,积极,16
69,声,n,积极,0
69,不错,a,积极,1
72,真,d,消极,0
72,好听,v,消极,1
79,承认,v,积极,0
79,月亮,n,积极,1
79,惹,v,积极,2
79,祸,n,积极,3
79,月色,n,积极,4
79,太美丽,nr,积极,5
79,太,d,积极,6
79,温柔,a,积极,7
79,康康,nr,积极,8
79,二十九,m,积极,9
79,天,q,积极,10
82,想,v,中性,0
82,同族,nz,中性,1
88,帮,v,消极,0
88,翻译,v,消极,1
88,谢谢,nr,消极,2
88,女朋友,n,消极,3
88,发,v,消极,4
88,视频,n,消极,5
88,在线,b,消极,6
88,急急,a,消极,7
88,急,v,消极,8
89,真,d,积极,0
89,希望,v,积极,1
89,民族,n,积极,2
89,全新,d,积极,3
95,时隔多年,l,积极,0
95,依然,d,积极,1
95,爱,v,积极,2
95,听,v,积极,3
95,首歌,n,积极,4
103,想,v,消极,0
103,学,n,消极,1
103,苗语,nz,消极,2
103,随便,d,消极,3
103,都行,n,消极,4
103,捂,v,消极,5
103,脸,n,消极,6
104,明明,t,积极,0
104,听,v,积极,1
104,法语,nz,积极,2
112,这么久,r,消极,0
112,依旧,z,消极,1
112,几个,m,消极,2
112,晕,v,消极,3
112,晕,v,消极,4
113,好听,v,积极,0
113,优秀,a,积极,1
